gbifID,year,locality,decimalLatitude,decimalLongitude,individualCount,sex,associatedReferences,identifiedBy,basisOfRecord,scientificName,source,jitter_seed,lat_jitter,lon_jitter,locality_norm,ref_lat,ref_lon,notes,distance_to_ref,contentious
998485685,NA,NA,43.11,-5.15,1,NA,Atlas y/o Libro Rojo,NA,HUMAN_OBSERVATION,"Bombus inexspectatus (Tkalcu, 1963)",GBIF,NA,NA,NA,NA,NA,NA,NA,NA,OK
998485679,NA,NA,43,-5.76,1,NA,Atlas y/o Libro Rojo,NA,HUMAN_OBSERVATION,"Bombus inexspectatus (Tkalcu, 1963)",GBIF,NA,NA,NA,NA,NA,NA,NA,NA,OK
998485659,NA,NA,43.03,-4.41,1,NA,Atlas y/o Libro Rojo,NA,HUMAN_OBSERVATION,"Bombus inexspectatus (Tkalcu, 1963)",GBIF,NA,NA,NA,NA,NA,NA,NA,NA,OK
998485639,NA,NA,43.02,-4.78,1,NA,Atlas y/o Libro Rojo,NA,HUMAN_OBSERVATION,"Bombus inexspectatus (Tkalcu, 1963)",GBIF,NA,NA,NA,NA,NA,NA,NA,NA,OK
998485633,NA,NA,43.11,-5.27,1,NA,Atlas y/o Libro Rojo,NA,HUMAN_OBSERVATION,"Bombus inexspectatus (Tkalcu, 1963)",GBIF,NA,NA,NA,NA,NA,NA,NA,NA,OK
998485598,NA,NA,43.2,-4.78,1,NA,Atlas y/o Libro Rojo,NA,HUMAN_OBSERVATION,"Bombus inexspectatus (Tkalcu, 1963)",GBIF,NA,NA,NA,NA,NA,NA,NA,NA,OK
998485524,NA,NA,42.91,-6.24,1,NA,Atlas y/o Libro Rojo,NA,HUMAN_OBSERVATION,"Bombus inexspectatus (Tkalcu, 1963)",GBIF,NA,NA,NA,NA,NA,NA,NA,NA,OK
998485515,NA,NA,43.01,-6.61,1,NA,Atlas y/o Libro Rojo,NA,HUMAN_OBSERVATION,"Bombus inexspectatus (Tkalcu, 1963)",GBIF,NA,NA,NA,NA,NA,NA,NA,NA,OK
998485493,NA,NA,42.91,-5.76,1,NA,Atlas y/o Libro Rojo,NA,HUMAN_OBSERVATION,"Bombus inexspectatus (Tkalcu, 1963)",GBIF,NA,NA,NA,NA,NA,NA,NA,NA,OK
998485490,NA,NA,43.01,-6.48,1,NA,Atlas y/o Libro Rojo,NA,HUMAN_OBSERVATION,"Bombus inexspectatus (Tkalcu, 1963)",GBIF,NA,NA,NA,NA,NA,NA,NA,NA,OK
4941331596,1968,Marana,43.017,-5.148,1,NA,54_Wood_etal_7136_Yarrow 1970,P. Rasmont,OCCURRENCE,"Bombus inexspectatus (Tkalcu, 1963)",GBIF,NA,NA,NA,Marana,43.04931,-5.180763,Google Maps_manual,4.5,OK
4941331496,1968,Puerto de Tarna,43.105,-5.274,1,NA,54_Wood_etal_7138_Yarrow 1970,P. Rasmont,OCCURRENCE,"Bombus inexspectatus (Tkalcu, 1963)",GBIF,NA,NA,NA,Puerto de Tarna,43.084289,-5.217645,Google Maps_manual,5.1,OK
4941331495,1967,Puerto de Tarna,43.105,-5.274,1,NA,54_Wood_etal_6460_Yarrow 1970,P. Rasmont,OCCURRENCE,"Bombus inexspectatus (Tkalcu, 1963)",GBIF,NA,NA,NA,Puerto de Tarna,43.084289,-5.217645,Google Maps_manual,5.1,OK
4941331494,1966,Puerto de las Senales,43.105,-5.274,1,NA,54_Wood_etal_6267_Yarrow 1970,P. Rasmont,OCCURRENCE,"Bombus inexspectatus (Tkalcu, 1963)",GBIF,NA,NA,NA,Puerto de las Senales,43.075495,-5.243387,Google Maps_manual,4.1,OK
